,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
186,"Down Under (feat. Colin Hay)",Luude,5382971,https://open.spotify.com/track/3Oww84xrmgjyr5J1ilOmAf
187,"Do I Wanna Know?","Arctic Monkeys",5376132,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
188,"Sign of the Times","Harry Styles",5366199,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
189,"Lucid Dreams","Juice WRLD",5364004,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
190,Nostálgico,Rvssian,5357104,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
191,Bored,"Billie Eilish",5356309,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
192,Levitating,"Dua Lipa",5352961,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
193,"Malvadão 3",Xamã,5352236,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
194,"The Night We Met","Lord Huron",5344718,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
195,"Godzilla (feat. Juice WRLD)",Eminem,5339358,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
196,"La Zona","Bad Bunny",5326096,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
197,"See You Again (feat. Kali Uchis)","Tyler, The Creator",5316525,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
198,"Love Yourself","Justin Bieber",5312283,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
199,"Mal Feito - Ao Vivo","Hugo & Guilherme",5300930,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
200,Memories,"Maroon 5",5299695,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
